Target,Train Rows,Test Rows,Train Positives,Test Positives,ROC-AUC,PR-AUC,Precision,Recall,F1
CURRENT_TARGET,131050,104648,1177,288,0.9295189960766151,0.07487568661045138,0.06382061233290211,0.5138888888888888,0.11354046797084771
KEV_AWARE_TARGET,131050,104648,1865,568,0.966297568027303,0.6504301913396469,0.18692408951294429,0.75,0.2992623814541623
